Title,sim_score,diff_score
AdaFaceopencv0.100 AdaFaceretinaface0.350 Facenet512fastmtcnn0.100 Facenet512opencv0.450,0.82,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.350 Facenet512fastmtcnn0.150 Facenet512opencv0.400,0.83,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.350 Facenet512fastmtcnn0.200 Facenet512opencv0.350,0.83,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.350 Facenet512fastmtcnn0.250 Facenet512opencv0.300,0.83,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.350 Facenet512fastmtcnn0.300 Facenet512opencv0.250,0.84,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.350 Facenet512fastmtcnn0.350 Facenet512opencv0.200,0.84,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.350 Facenet512fastmtcnn0.400 Facenet512opencv0.150,0.84,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.400 Facenet512fastmtcnn0.100 Facenet512opencv0.400,0.82,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.400 Facenet512fastmtcnn0.150 Facenet512opencv0.350,0.82,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.400 Facenet512fastmtcnn0.200 Facenet512opencv0.300,0.83,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.400 Facenet512fastmtcnn0.250 Facenet512opencv0.250,0.83,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.400 Facenet512fastmtcnn0.300 Facenet512opencv0.200,0.83,0.07
AdaFaceopencv0.100 AdaFaceretinaface0.400 Facenet512fastmtcnn0.350 Facenet512opencv0.150,0.84,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.450 Facenet512fastmtcnn0.100 Facenet512opencv0.350,0.82,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.450 Facenet512fastmtcnn0.150 Facenet512opencv0.300,0.82,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.450 Facenet512fastmtcnn0.200 Facenet512opencv0.250,0.83,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.450 Facenet512fastmtcnn0.250 Facenet512opencv0.200,0.83,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.450 Facenet512fastmtcnn0.300 Facenet512opencv0.150,0.83,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.500 Facenet512fastmtcnn0.100 Facenet512opencv0.300,0.82,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.500 Facenet512fastmtcnn0.150 Facenet512opencv0.250,0.82,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.500 Facenet512fastmtcnn0.200 Facenet512opencv0.200,0.82,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.500 Facenet512fastmtcnn0.250 Facenet512opencv0.150,0.83,0.06
AdaFaceopencv0.100 AdaFaceretinaface0.550 Facenet512fastmtcnn0.100 Facenet512opencv0.250,0.82,0.05
AdaFaceopencv0.100 AdaFaceretinaface0.550 Facenet512fastmtcnn0.150 Facenet512opencv0.200,0.82,0.05
AdaFaceopencv0.100 AdaFaceretinaface0.550 Facenet512fastmtcnn0.200 Facenet512opencv0.150,0.82,0.05
AdaFaceopencv0.100 AdaFaceretinaface0.600 Facenet512fastmtcnn0.100 Facenet512opencv0.200,0.81,0.05
AdaFaceopencv0.100 AdaFaceretinaface0.600 Facenet512fastmtcnn0.150 Facenet512opencv0.150,0.82,0.05
AdaFaceopencv0.100 AdaFaceretinaface0.650 Facenet512fastmtcnn0.100 Facenet512opencv0.150,0.81,0.04
AdaFaceopencv0.150 AdaFaceretinaface0.100 Facenet512fastmtcnn0.100 Facenet512opencv0.650,0.83,0.10
AdaFaceopencv0.150 AdaFaceretinaface0.100 Facenet512fastmtcnn0.150 Facenet512opencv0.600,0.83,0.09
AdaFaceopencv0.150 AdaFaceretinaface0.100 Facenet512fastmtcnn0.200 Facenet512opencv0.550,0.84,0.09
AdaFaceopencv0.150 AdaFaceretinaface0.100 Facenet512fastmtcnn0.250 Facenet512opencv0.500,0.84,0.09
AdaFaceopencv0.150 AdaFaceretinaface0.100 Facenet512fastmtcnn0.300 Facenet512opencv0.450,0.84,0.09
AdaFaceopencv0.150 AdaFaceretinaface0.100 Facenet512fastmtcnn0.350 Facenet512opencv0.400,0.84,0.09
AdaFaceopencv0.150 AdaFaceretinaface0.100 Facenet512fastmtcnn0.400 Facenet512opencv0.350,0.85,0.09
AdaFaceopencv0.150 AdaFaceretinaface0.100 Facenet512fastmtcnn0.450 Facenet512opencv0.300,0.85,0.09
AdaFaceopencv0.150 AdaFaceretinaface0.100 Facenet512fastmtcnn0.500 Facenet512opencv0.250,0.85,0.09
AdaFaceopencv0.150 AdaFaceretinaface0.100 Facenet512fastmtcnn0.550 Facenet512opencv0.200,0.85,0.09
AdaFaceopencv0.150 AdaFaceretinaface0.100 Facenet512fastmtcnn0.600 Facenet512opencv0.150,0.86,0.09
AdaFaceopencv0.150 AdaFaceretinaface0.150 Facenet512fastmtcnn0.100 Facenet512opencv0.600,0.83,0.09
AdaFaceopencv0.150 AdaFaceretinaface0.150 Facenet512fastmtcnn0.150 Facenet512opencv0.550,0.83,0.09
AdaFaceopencv0.150 AdaFaceretinaface0.150 Facenet512fastmtcnn0.200 Facenet512opencv0.500,0.83,0.09
AdaFaceopencv0.150 AdaFaceretinaface0.150 Facenet512fastmtcnn0.250 Facenet512opencv0.450,0.84,0.09
AdaFaceopencv0.150 AdaFaceretinaface0.150 Facenet512fastmtcnn0.300 Facenet512opencv0.400,0.84,0.09
AdaFaceopencv0.150 AdaFaceretinaface0.150 Facenet512fastmtcnn0.350 Facenet512opencv0.350,0.84,0.09
AdaFaceopencv0.150 AdaFaceretinaface0.150 Facenet512fastmtcnn0.400 Facenet512opencv0.300,0.84,0.08
AdaFaceopencv0.150 AdaFaceretinaface0.150 Facenet512fastmtcnn0.450 Facenet512opencv0.250,0.85,0.08
AdaFaceopencv0.150 AdaFaceretinaface0.150 Facenet512fastmtcnn0.500 Facenet512opencv0.200,0.85,0.08
AdaFaceopencv0.150 AdaFaceretinaface0.150 Facenet512fastmtcnn0.550 Facenet512opencv0.150,0.85,0.08
AdaFaceopencv0.150 AdaFaceretinaface0.200 Facenet512fastmtcnn0.100 Facenet512opencv0.550,0.83,0.08
AdaFaceopencv0.150 AdaFaceretinaface0.200 Facenet512fastmtcnn0.150 Facenet512opencv0.500,0.83,0.08
AdaFaceopencv0.150 AdaFaceretinaface0.200 Facenet512fastmtcnn0.200 Facenet512opencv0.450,0.83,0.08
AdaFaceopencv0.150 AdaFaceretinaface0.200 Facenet512fastmtcnn0.250 Facenet512opencv0.400,0.83,0.08
AdaFaceopencv0.150 AdaFaceretinaface0.200 Facenet512fastmtcnn0.300 Facenet512opencv0.350,0.84,0.08
AdaFaceopencv0.150 AdaFaceretinaface0.200 Facenet512fastmtcnn0.350 Facenet512opencv0.300,0.84,0.08
AdaFaceopencv0.150 AdaFaceretinaface0.200 Facenet512fastmtcnn0.400 Facenet512opencv0.250,0.84,0.08
AdaFaceopencv0.150 AdaFaceretinaface0.200 Facenet512fastmtcnn0.450 Facenet512opencv0.200,0.85,0.08
AdaFaceopencv0.150 AdaFaceretinaface0.200 Facenet512fastmtcnn0.500 Facenet512opencv0.150,0.85,0.08
AdaFaceopencv0.150 AdaFaceretinaface0.250 Facenet512fastmtcnn0.100 Facenet512opencv0.500,0.82,0.08
AdaFaceopencv0.150 AdaFaceretinaface0.250 Facenet512fastmtcnn0.150 Facenet512opencv0.450,0.83,0.08
AdaFaceopencv0.150 AdaFaceretinaface0.250 Facenet512fastmtcnn0.200 Facenet512opencv0.400,0.83,0.08
AdaFaceopencv0.150 AdaFaceretinaface0.250 Facenet512fastmtcnn0.250 Facenet512opencv0.350,0.83,0.08
AdaFaceopencv0.150 AdaFaceretinaface0.250 Facenet512fastmtcnn0.300 Facenet512opencv0.300,0.83,0.08
AdaFaceopencv0.150 AdaFaceretinaface0.250 Facenet512fastmtcnn0.350 Facenet512opencv0.250,0.84,0.08
AdaFaceopencv0.150 AdaFaceretinaface0.250 Facenet512fastmtcnn0.400 Facenet512opencv0.200,0.84,0.07
AdaFaceopencv0.150 AdaFaceretinaface0.250 Facenet512fastmtcnn0.450 Facenet512opencv0.150,0.84,0.07
AdaFaceopencv0.150 AdaFaceretinaface0.300 Facenet512fastmtcnn0.100 Facenet512opencv0.450,0.82,0.07
AdaFaceopencv0.150 AdaFaceretinaface0.300 Facenet512fastmtcnn0.150 Facenet512opencv0.400,0.82,0.07
AdaFaceopencv0.150 AdaFaceretinaface0.300 Facenet512fastmtcnn0.200 Facenet512opencv0.350,0.83,0.07
AdaFaceopencv0.150 AdaFaceretinaface0.300 Facenet512fastmtcnn0.250 Facenet512opencv0.300,0.83,0.07
AdaFaceopencv0.150 AdaFaceretinaface0.300 Facenet512fastmtcnn0.300 Facenet512opencv0.250,0.83,0.07
AdaFaceopencv0.150 AdaFaceretinaface0.300 Facenet512fastmtcnn0.350 Facenet512opencv0.200,0.84,0.07
AdaFaceopencv0.150 AdaFaceretinaface0.300 Facenet512fastmtcnn0.400 Facenet512opencv0.150,0.84,0.07
AdaFaceopencv0.150 AdaFaceretinaface0.350 Facenet512fastmtcnn0.100 Facenet512opencv0.400,0.82,0.07
AdaFaceopencv0.150 AdaFaceretinaface0.350 Facenet512fastmtcnn0.150 Facenet512opencv0.350,0.82,0.07
AdaFaceopencv0.150 AdaFaceretinaface0.350 Facenet512fastmtcnn0.200 Facenet512opencv0.300,0.83,0.07
AdaFaceopencv0.150 AdaFaceretinaface0.350 Facenet512fastmtcnn0.250 Facenet512opencv0.250,0.83,0.07
AdaFaceopencv0.150 AdaFaceretinaface0.350 Facenet512fastmtcnn0.300 Facenet512opencv0.200,0.83,0.07
AdaFaceopencv0.150 AdaFaceretinaface0.350 Facenet512fastmtcnn0.350 Facenet512opencv0.150,0.83,0.06
AdaFaceopencv0.150 AdaFaceretinaface0.400 Facenet512fastmtcnn0.100 Facenet512opencv0.350,0.82,0.06
AdaFaceopencv0.150 AdaFaceretinaface0.400 Facenet512fastmtcnn0.150 Facenet512opencv0.300,0.82,0.06
AdaFaceopencv0.150 AdaFaceretinaface0.400 Facenet512fastmtcnn0.200 Facenet512opencv0.250,0.82,0.06
AdaFaceopencv0.150 AdaFaceretinaface0.400 Facenet512fastmtcnn0.250 Facenet512opencv0.200,0.83,0.06
AdaFaceopencv0.150 AdaFaceretinaface0.400 Facenet512fastmtcnn0.300 Facenet512opencv0.150,0.83,0.06
AdaFaceopencv0.150 AdaFaceretinaface0.450 Facenet512fastmtcnn0.100 Facenet512opencv0.300,0.82,0.06
AdaFaceopencv0.150 AdaFaceretinaface0.450 Facenet512fastmtcnn0.150 Facenet512opencv0.250,0.82,0.06
AdaFaceopencv0.150 AdaFaceretinaface0.450 Facenet512fastmtcnn0.200 Facenet512opencv0.200,0.82,0.06
AdaFaceopencv0.150 AdaFaceretinaface0.450 Facenet512fastmtcnn0.250 Facenet512opencv0.150,0.82,0.06
AdaFaceopencv0.150 AdaFaceretinaface0.500 Facenet512fastmtcnn0.100 Facenet512opencv0.250,0.81,0.05
AdaFaceopencv0.150 AdaFaceretinaface0.500 Facenet512fastmtcnn0.150 Facenet512opencv0.200,0.82,0.05
AdaFaceopencv0.150 AdaFaceretinaface0.500 Facenet512fastmtcnn0.200 Facenet512opencv0.150,0.82,0.05
AdaFaceopencv0.150 AdaFaceretinaface0.550 Facenet512fastmtcnn0.100 Facenet512opencv0.200,0.81,0.05
AdaFaceopencv0.150 AdaFaceretinaface0.550 Facenet512fastmtcnn0.150 Facenet512opencv0.150,0.81,0.05
AdaFaceopencv0.150 AdaFaceretinaface0.600 Facenet512fastmtcnn0.100 Facenet512opencv0.150,0.81,0.04
AdaFaceopencv0.200 AdaFaceretinaface0.100 Facenet512fastmtcnn0.100 Facenet512opencv0.600,0.83,0.09
AdaFaceopencv0.200 AdaFaceretinaface0.100 Facenet512fastmtcnn0.150 Facenet512opencv0.550,0.83,0.09
AdaFaceopencv0.200 AdaFaceretinaface0.100 Facenet512fastmtcnn0.200 Facenet512opencv0.500,0.83,0.09
AdaFaceopencv0.200 AdaFaceretinaface0.100 Facenet512fastmtcnn0.250 Facenet512opencv0.450,0.83,0.09
AdaFaceopencv0.200 AdaFaceretinaface0.100 Facenet512fastmtcnn0.300 Facenet512opencv0.400,0.84,0.09
AdaFaceopencv0.200 AdaFaceretinaface0.100 Facenet512fastmtcnn0.350 Facenet512opencv0.350,0.84,0.09
AdaFaceopencv0.200 AdaFaceretinaface0.100 Facenet512fastmtcnn0.400 Facenet512opencv0.300,0.84,0.08
AdaFaceopencv0.200 AdaFaceretinaface0.100 Facenet512fastmtcnn0.450 Facenet512opencv0.250,0.85,0.08
AdaFaceopencv0.200 AdaFaceretinaface0.100 Facenet512fastmtcnn0.500 Facenet512opencv0.200,0.85,0.08
AdaFaceopencv0.200 AdaFaceretinaface0.100 Facenet512fastmtcnn0.550 Facenet512opencv0.150,0.85,0.08
AdaFaceopencv0.200 AdaFaceretinaface0.150 Facenet512fastmtcnn0.100 Facenet512opencv0.550,0.82,0.09
AdaFaceopencv0.200 AdaFaceretinaface0.150 Facenet512fastmtcnn0.150 Facenet512opencv0.500,0.83,0.08
AdaFaceopencv0.200 AdaFaceretinaface0.150 Facenet512fastmtcnn0.200 Facenet512opencv0.450,0.83,0.08
AdaFaceopencv0.200 AdaFaceretinaface0.150 Facenet512fastmtcnn0.250 Facenet512opencv0.400,0.83,0.08
AdaFaceopencv0.200 AdaFaceretinaface0.150 Facenet512fastmtcnn0.300 Facenet512opencv0.350,0.83,0.08
AdaFaceopencv0.200 AdaFaceretinaface0.150 Facenet512fastmtcnn0.350 Facenet512opencv0.300,0.84,0.08
AdaFaceopencv0.200 AdaFaceretinaface0.150 Facenet512fastmtcnn0.400 Facenet512opencv0.250,0.84,0.08
AdaFaceopencv0.200 AdaFaceretinaface0.150 Facenet512fastmtcnn0.450 Facenet512opencv0.200,0.84,0.08
AdaFaceopencv0.200 AdaFaceretinaface0.150 Facenet512fastmtcnn0.500 Facenet512opencv0.150,0.85,0.08
